customer_id,age,gender,city,income_level,loyalty_score,membership_years,total_spent,avg_purchase_value,purchase_frequency,preferred_category,last_purchase_days_ago,discount_usage_rate,online_shopper,email_open_rate,sms_response_rate,app_usage,returns_count,satisfaction_score,churn_risk,campaign_response,referral_count,preferred_payment,coupon_redeemed,seasonal_spender,weekend_shopper,avg_cart_size,store_visits_per_month,website_visits_per_month,app_sessions_per_month,customer_segment,preferred_channel,complaints_count,net_promoter_score,account_age_days,has_subscription,subscription_type,days_since_last_login,engagement_score,lifetime_value_estimate,purchase_intensity,digital_engagement,value_per_year,customer_class,engagement_index,churn_flag,loyalty_spend,activity_value,engagement_value,total_spent_squared,loyalty_score_squared,interaction_term,weighted_loyalty
CUST100000,56,Male,Almaty,Medium,99.42,4.0,433.29,189.42,48.0,Groceries,160.0,0.6,False,0.62,0.82,Medium,0,3.49,High,Yes,9,Card,False,True,True,2.33,11,48.0,28.0,Bronze,App,7,-3,1531,False,Premium,234,15.28,17877.63,9.6,38.0,86.658,Low Value,0.8948545861297539,0,43077.6918,9092.16,387.7315436241611,187740.22410000002,9884.3364,43077.6918,0.000424697535020638
CUST100001,69,Female,Karaganda,High,56.74,2.0,2550.19,431.02,28.0,Beauty,255.0,0.23,False,0.3,0.35,High,13,1.06,High,No,6,Card,True,True,False,1.31,2,14.0,12.0,Bronze,SMS,8,74,1501,False,,277,64.51,17113.97,9.333333333333334,13.0,850.0633333333334,Low Value,0.3892617449664429,0,144697.7806,12068.56,992.691409395973,6503469.0361,3219.4276000000004,144697.7806,0.0014265571848438056
CUST100002,46,Female,Astana,Low,17.38,3.0,2581.99,213.06,33.0,Clothing,180.0,0.21,True,0.89,0.48,Low,16,2.01,High,Yes,3,Cash,False,False,False,11.58,7,31.0,29.0,Platinum,Email,6,-73,98,True,Premium,219,2.12,11038.52,8.25,30.0,645.4975,Low Value,0.6890380313199104,0,44874.98619999999,7030.9800000000005,1779.0893064876952,6666672.360099999,302.0644,44874.98619999999,0.0004424168340241745
CUST100003,32,Female,Shymkent,Low,16.31,3.0,4508.94,467.89,38.0,Beauty,88.0,0.54,True,0.3,0.57,High,7,1.36,High,No,7,Online Wallet,True,True,False,2.19,10,0.0,26.0,Gold,Social Media,8,-93,320,False,Premium,241,21.23,18700.16,9.5,13.0,1127.235,Medium Value,0.48769574944071586,0,73540.81139999999,17779.82,2198.990872483221,20330539.923599996,266.01609999999994,73540.81139999999,0.0007250295923468588
CUST100004,60,Male,Karaganda,Low,76.39,0.0,2439.07,373.03,26.0,Clothing,54.0,0.24,False,0.95,0.91,High,15,1.26,Medium,Yes,7,Cash,False,False,True,16.46,10,28.0,17.0,Platinum,SMS,2,42,2301,False,,88,36.64,9779.39,26.0,22.5,2439.07,Low Value,0.5145413870246085,0,186320.55730000001,9698.779999999999,1255.002460850112,5949062.464900001,5835.4321,186320.55730000001,0.0018369108952346778
CUST100005,25,Female,Almaty,High,59.19,5.0,1936.03,355.18,24.0,Electronics,172.0,0.11,True,0.04,0.93,Medium,10,2.88,Medium,Yes,3,Card,True,False,True,12.67,1,42.0,29.0,Bronze,SMS,2,-53,3504,False,,230,44.58,8404.88,4.0,35.5,322.6716666666667,Low Value,0.7024608501118568,0,114593.6157,8524.32,1359.985279642058,3748212.1609,3503.4561,114593.6157,0.0011297640166712062
CUST100006,38,Female,Shymkent,Low,54.88,6.0,7678.72,148.62,5.0,Clothing,292.0,0.41,False,0.11,0.63,High,4,4.91,Low,No,8,Online Wallet,False,True,True,12.48,1,33.0,37.0,Platinum,SMS,9,-1,2820,True,,164,44.19,15902.53,0.7142857142857143,35.0,1096.96,Medium Value,0.5861297539149889,0,421408.1536,743.1,4500.726263982104,58962740.83840001,3011.8144,421408.1536,0.004154609882591676
CUST100007,56,Female,Almaty,Medium,46.58,6.0,8945.7,399.09,44.0,Electronics,154.0,0.05,False,0.73,0.01,Medium,11,2.58,Low,No,1,Card,False,True,False,10.23,10,4.0,23.0,Bronze,Email,0,83,2500,True,,175,10.74,4937.76,6.285714285714286,13.5,1277.957142857143,Medium Value,0.5279642058165548,0,416690.706,17559.96,4723.009395973155,80025548.49000001,2169.6964,416690.706,0.00410810116117246
CUST100008,36,Male,Astana,High,72.51,5.0,764.69,57.11,17.0,Clothing,217.0,0.91,True,0.61,0.19,Low,14,4.87,Medium,Yes,9,Cash,False,True,True,9.24,4,13.0,18.0,Platinum,App,1,7,573,False,Premium,182,18.0,15606.55,2.8333333333333335,15.5,127.44833333333334,Low Value,0.3624161073825503,0,55447.67190000001,970.87,277.13597315436243,584750.7961,5257.700100000001,55447.67190000001,0.0005466516100234297
CUST100009,40,Male,Karaganda,High,85.81,6.0,2175.57,271.32,45.0,Electronics,179.0,0.45,True,0.72,0.2,Medium,11,4.56,High,No,0,Card,False,True,False,12.08,5,37.0,27.0,Silver,Email,3,29,188,False,,196,57.53,10987.73,6.428571428571429,32.0,310.7957142857143,Low Value,0.7919463087248322,0,186685.66170000003,12209.4,1722.9346308724832,4733104.8249,7363.3561,186685.66170000003,0.001840510413505645
CUST100010,28,Female,Shymkent,Low,30.3,2.0,7759.5,369.01,37.0,Clothing,341.0,0.01,False,0.64,0.6,Medium,10,1.7,Medium,No,7,Cash,False,True,True,2.02,10,20.0,29.0,Gold,Social Media,3,57,1273,True,,209,95.7,3886.63,12.333333333333334,24.5,2586.5,Medium Value,0.6420581655480985,0,235112.85,13653.369999999999,4982.05033557047,60209840.25,918.09,235112.85,0.002317947960402953
