customer_id,age,gender,city,income_level,loyalty_score,membership_years,total_spent,avg_purchase_value,purchase_frequency,preferred_category,last_purchase_days_ago,discount_usage_rate,online_shopper,email_open_rate,sms_response_rate,app_usage,returns_count,satisfaction_score,churn_risk,campaign_response,referral_count,preferred_payment,coupon_redeemed,seasonal_spender,weekend_shopper,avg_cart_size,store_visits_per_month,website_visits_per_month,app_sessions_per_month,customer_segment,preferred_channel,complaints_count,net_promoter_score,account_age_days,has_subscription,subscription_type,days_since_last_login,engagement_score,lifetime_value_estimate,client_value,client_risk
CUST100013,53,Male,Karaganda,High,91.47,9,6979.34,132.87,34.0,Electronics,57,0.5,False,0.81,0.29,Medium,19.0,1.21,Medium,No,1,Card,False,True,False,4.09,14,29,23,Silver,Social Media,5,81,1225,False,Premium,206,54.15,17910.11,638400.2298,0.5428571428571428
CUST100027,39,Female,Almaty,Medium,82.71,4,7650.59,393.33,43.0,Electronics,277,0.43,False,0.45,0.43,Medium,0.0,3.4,Low,No,5,Cash,False,False,True,9.73,11,21,29,Bronze,App,4,-1,950,False,0,220,26.3,14294.29,632780.2988999999,0.0
CUST100042,68,Male,Shymkent,Medium,87.88,1,9366.58,105.21,44.0,Beauty,228,1.0,False,0.66,0.33,High,9.0,3.78,High,No,0,Card,True,False,True,15.68,2,46,10,Silver,Social Media,9,-38,2963,False,Premium,9,1.51,2787.29,823135.0504,0.2
CUST100046,56,Male,Almaty,Medium,85.02,5,6841.2,470.77,22.0,Beauty,151,0.39,False,0.95,0.15,Low,6.0,3.78,Medium,Yes,1,Card,True,True,False,12.6,10,37,15,Platinum,Social Media,6,-53,3645,False,0,328,58.86,19847.0,581638.8239999999,0.2608695652173913
CUST100050,31,Male,Shymkent,High,96.13,4,8873.83,222.98,40.0,Electronics,119,0.23,False,0.21,0.63,Medium,6.0,2.45,Low,Yes,1,Online Wallet,True,False,True,14.7,1,49,37,Platinum,Social Media,9,-73,3302,False,0,203,40.61,7339.0,853041.2779,0.14634146341463414
CUST100054,19,Male,Astana,High,90.09,7,7437.91,82.51,9.0,Groceries,253,0.68,True,0.4,0.32,Low,6.0,1.15,Low,Yes,3,Card,False,True,False,1.96,7,45,13,Silver,Social Media,4,64,3378,True,0,289,59.92,15379.81,670081.3119,0.6
CUST100064,34,Female,Almaty,Low,77.11,3,7848.32,271.82,13.0,Groceries,166,0.44,True,0.92,0.0,Low,12.0,2.51,Low,No,5,Online Wallet,True,False,False,14.58,7,12,5,Bronze,Email,0,83,357,False,Premium,318,90.82,9639.98,605183.9552,0.8571428571428571
CUST100069,19,Female,Shymkent,Low,67.96,1,7417.84,340.77,31.0,Clothing,342,0.75,True,0.48,0.26,Low,4.0,2.48,Low,Yes,5,Online Wallet,False,True,False,9.15,11,26,29,Silver,App,5,21,590,False,Premium,86,30.05,458.33,504116.4064,0.125
CUST100080,31,Female,Shymkent,Low,84.0,7,7219.11,362.99,21.0,Beauty,332,0.75,False,0.98,0.61,Medium,5.0,1.9,Low,No,5,Cash,False,True,False,5.81,3,5,4,Silver,App,2,68,2589,False,0,300,5.4,3815.44,606405.24,0.22727272727272727
CUST100084,25,Female,Shymkent,High,95.45,1,9055.8,185.95,15.0,Electronics,8,0.78,True,0.18,0.12,Medium,18.0,4.82,Medium,No,2,Online Wallet,True,False,False,10.85,6,5,27,Gold,SMS,6,0,1269,False,0,94,38.47,3975.56,864376.11,1.125
CUST100090,62,Male,Shymkent,Medium,94.06,2,9460.38,37.66,12.0,Beauty,67,0.93,False,0.42,0.76,Medium,9.0,4.51,High,Yes,8,Online Wallet,True,True,False,6.82,4,27,29,Silver,App,2,16,3479,True,0,122,97.26,16669.79,889843.3428,0.6923076923076923
CUST100093,41,Male,Astana,High,84.14,2,6542.11,133.78,24.0,Electronics,310,0.38,False,0.41,0.93,High,17.0,2.79,High,No,3,Card,False,True,False,15.75,10,10,30,Silver,Email,7,-89,1876,False,Basic,132,97.77,18018.98,550453.1354,0.68
