customer_id,age,gender,city,income_level,loyalty_score,membership_years,total_spent,avg_purchase_value,purchase_frequency,preferred_category,last_purchase_days_ago,discount_usage_rate,online_shopper,email_open_rate,sms_response_rate,app_usage,returns_count,satisfaction_score,churn_risk,campaign_response,referral_count,preferred_payment,coupon_redeemed,seasonal_spender,weekend_shopper,avg_cart_size,store_visits_per_month,website_visits_per_month,app_sessions_per_month,customer_segment,preferred_channel,complaints_count,net_promoter_score,account_age_days,has_subscription,subscription_type,days_since_last_login,engagement_score,lifetime_value_estimate,marketing_action,spend_per_purchase,client_score,is_elite
CUST100000,56,Male,Almaty,Medium,99.42,4,433.29,189.42,48,Groceries,160,0.6,False,0.62,0.82,Medium,0,3.49,High,Yes,9,Card,False,True,True,2.33,11,48,28,Bronze,App,7,-3,1531,False,Premium,234,15.28,17877.63,Standard News,8.84265306122449,246.471,False
CUST100001,69,Female,Karaganda,High,56.74,2,2550.19,431.02,28,Beauty,255,0.23,False,0.3,0.35,High,13,1.06,High,No,6,Card,True,True,False,1.31,2,14,12,Bronze,SMS,8,74,1501,False,,277,64.51,17113.97,Standard News,87.93758620689655,1292.117,False
CUST100002,46,Female,Astana,Low,17.38,3,2581.99,213.06,33,Clothing,180,0.21,True,0.89,0.48,Low,16,2.01,High,Yes,3,Cash,False,False,False,11.58,7,31,29,Platinum,Email,6,-73,98,True,Premium,219,2.12,11038.52,Standard News,75.94088235294117,1296.2089999999998,False
CUST100003,32,Female,Shymkent,Low,16.31,3,4508.94,467.89,38,Beauty,88,0.54,True,0.3,0.57,High,7,1.36,High,No,7,Online Wallet,True,True,False,2.19,10,0,26,Gold,Social Media,8,-93,320,False,Premium,241,21.23,18700.16,Standard News,115.61384615384614,2259.363,False
CUST100004,60,Male,Karaganda,Low,76.39,0,2439.07,373.03,26,Clothing,54,0.24,False,0.95,0.91,High,15,1.26,Medium,Yes,7,Cash,False,False,True,16.46,10,28,17,Platinum,SMS,2,42,2301,False,,88,36.64,9779.39,Standard News,90.33592592592593,1242.452,False
CUST100005,25,Female,Almaty,High,59.19,5,1936.03,355.18,24,Electronics,172,0.11,True,0.04,0.93,Medium,10,2.88,Medium,Yes,3,Card,True,False,True,12.67,1,42,29,Bronze,SMS,2,-53,3504,False,,230,44.58,8404.88,Standard News,77.4412,985.7719999999999,False
CUST100006,38,Female,Shymkent,Low,54.88,6,7678.72,148.62,5,Clothing,292,0.41,False,0.11,0.63,High,4,4.91,Low,No,8,Online Wallet,False,True,True,12.48,1,33,37,Platinum,SMS,9,-1,2820,True,,164,44.19,15902.53,Standard News,1279.7866666666666,3855.824,False
CUST100007,56,Female,Almaty,Medium,46.58,6,8945.7,399.09,44,Electronics,154,0.05,False,0.73,0.01,Medium,11,2.58,Low,No,1,Card,False,True,False,10.23,10,4,23,Bronze,Email,0,83,2500,True,,175,10.74,4937.76,Standard News,198.79333333333335,4486.8240000000005,True
CUST100008,36,Male,Astana,High,72.51,5,764.69,57.11,17,Clothing,217,0.91,True,0.61,0.19,Low,14,4.87,Medium,Yes,9,Cash,False,True,True,9.24,4,13,18,Platinum,App,1,7,573,False,Premium,182,18.0,15606.55,Standard News,42.482777777777784,404.098,False
CUST100009,40,Male,Karaganda,High,85.81,6,2175.57,271.32,45,Electronics,179,0.45,True,0.72,0.2,Medium,11,4.56,High,No,0,Card,False,True,False,12.08,5,37,27,Silver,Email,3,29,188,False,,196,57.53,10987.73,Standard News,47.295,1113.528,False
